coral_id,date,transplantation,type,knoll,species,survival_status,trapezia,alpheus,spirobranchus_giganteus,collector,coral_id_raw,species_raw,date_raw,genus,cohort,treatment,coral_uid,monitoring_start,months_of_monitoring,pre_monitoring_date_flag,inverts_observed,collector_clean,month_bin
12Pd1,2006-01-01,control_T1,control,12,Pocillopora_damicornis,0,4,1,0,NA,12Pd1,Pocillopora_damicornis,1/1/2006,Pocillopora,T1,control,12Pd1_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
12Pd2,2006-01-01,control_T1,control,12,Pocillopora_damicornis,0,2,0,0,NA,12Pd2,Pocillopora_damicornis,1/1/2006,Pocillopora,T1,control,12Pd2_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
12Pd3,2006-01-01,control_T1,control,12,Pocillopora_damicornis,0,1,1,0,NA,12Pd3,Pocillopora_damicornis,1/1/2006,Pocillopora,T1,control,12Pd3_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
12Pd4,2006-01-01,control_T1,control,12,Pocillopora_damicornis,0,2,0,0,NA,12Pd4,Pocillopora_damicornis,1/1/2006,Pocillopora,T1,control,12Pd4_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
12Pd5,2006-01-01,control_T1,control,12,Pocillopora_damicornis,0,0,0,0,NA,12Pd5,Pocillopora_damicornis,1/1/2006,Pocillopora,T1,control,12Pd5_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
12Pd6,2006-01-01,control_T1,control,12,Pocillopora_damicornis,0,4,0,0,NA,12Pd6,Pocillopora_damicornis,1/1/2006,Pocillopora,T1,control,12Pd6_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
12Pd7,2006-01-01,control_T1,control,12,Pocillopora_damicornis,0,1,0,0,NA,12Pd7,Pocillopora_damicornis,1/1/2006,Pocillopora,T1,control,12Pd7_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
12Sp1,2006-01-01,control_T1,control,12,Stylophora_pistillata,0,0,0,0,NA,12Sp1,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,12Sp1_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
12Sp2,2006-01-01,control_T1,control,12,Stylophora_pistillata,0,0,0,0,NA,12Sp2,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,12Sp2_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
12Sp3,2006-01-01,control_T1,control,12,Stylophora_pistillata,0,2,0,0,NA,12Sp3,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,12Sp3_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
12Sp4,2006-01-01,control_T1,control,12,Stylophora_pistillata,0,2,0,0,NA,12Sp4,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,12Sp4_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
12Sp5,2006-01-01,control_T1,control,12,Stylophora_pistillata,0,2,0,0,NA,12Sp5,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,12Sp5_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
12Sp6,2006-01-01,control_T1,control,12,Stylophora_pistillata,0,1,0,0,NA,12Sp6,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,12Sp6_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
12Sp7,2006-01-01,control_T1,control,12,Stylophora_pistillata,0,2,0,0,NA,12Sp7,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,12Sp7_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
13Pd1,2006-01-01,control_T1,control,13,Pocillopora_damicornis,0,0,0,0,NA,13Pd1,Pocillopora_damicornis,1/1/2006,Pocillopora,T1,control,13Pd1_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
13Pd2,2006-01-01,control_T1,control,13,Pocillopora_damicornis,0,0,0,0,NA,13Pd2,Pocillopora_damicornis,1/1/2006,Pocillopora,T1,control,13Pd2_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
13Sp1,2006-01-01,control_T1,control,13,Stylophora_pistillata,0,2,0,0,NA,13Sp1,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,13Sp1_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
13Sp2,2006-01-01,control_T1,control,13,Stylophora_pistillata,0,0,0,0,NA,13Sp2,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,13Sp2_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
14Pd1,2006-01-01,control_T1,control,14,Pocillopora_damicornis,0,0,0,0,NA,14Pd1,Pocillopora_damicornis,1/1/2006,Pocillopora,T1,control,14Pd1_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
14Pd2,2006-01-01,control_T1,control,14,Pocillopora_damicornis,0,0,0,0,NA,14Pd2,Pocillopora_damicornis,1/1/2006,Pocillopora,T1,control,14Pd2_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
14Pd3,2006-01-01,control_T1,control,14,Pocillopora_damicornis,0,0,0,0,NA,14Pd3,Pocillopora_damicornis,1/1/2006,Pocillopora,T1,control,14Pd3_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
14Pd4,2006-01-01,control_T1,control,14,Pocillopora_damicornis,0,0,0,0,NA,14Pd4,Pocillopora_damicornis,1/1/2006,Pocillopora,T1,control,14Pd4_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
14Pd5,2006-01-01,control_T1,control,14,Pocillopora_damicornis,0,0,0,0,NA,14Pd5,Pocillopora_damicornis,1/1/2006,Pocillopora,T1,control,14Pd5_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
14Sp1,2006-01-01,control_T1,control,14,Stylophora_pistillata,0,0,0,0,NA,14Sp1,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,14Sp1_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
14Sp2,2006-01-01,control_T1,control,14,Stylophora_pistillata,0,0,0,0,NA,14Sp2,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,14Sp2_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
14Sp3,2006-01-01,control_T1,control,14,Stylophora_pistillata,0,0,0,0,NA,14Sp3,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,14Sp3_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
14Sp4,2006-01-01,control_T1,control,14,Stylophora_pistillata,0,0,0,0,NA,14Sp4,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,14Sp4_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
14Sp5,2006-01-01,control_T1,control,14,Stylophora_pistillata,0,0,0,0,NA,14Sp5,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,14Sp5_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
14Sp6,2006-01-01,control_T1,control,14,Stylophora_pistillata,0,0,0,0,NA,14Sp6,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,14Sp6_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
14Sp7,2006-01-01,control_T1,control,14,Stylophora_pistillata,0,0,0,0,NA,14Sp7,Stylophora_pistillata,1/1/2006,Stylophora,T1,control,14Sp7_control_T1,1/12/2005,1,FALSE,TRUE,NA,1
1Pd1,2006-02-01,control_T1,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd1,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,1Pd1_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Pd10,2006-02-01,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd10,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,1Pd10_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Pd2,2006-02-01,control_T1,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd2,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,1Pd2_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Pd3,2006-02-01,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd3,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,1Pd3_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Pd4,2006-02-01,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd4,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,1Pd4_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Pd5,2006-02-01,control_T1,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd5,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,1Pd5_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Pd6,2006-02-01,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd6,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,1Pd6_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Pd7,2006-02-01,control_T1,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd7,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,1Pd7_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Pd8,2006-02-01,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd8,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,1Pd8_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Pd9,2006-02-01,control_T1,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd9,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,1Pd9_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Sp1,2006-02-01,control_T1,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp1,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,1Sp1_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Sp10,2006-02-01,control_T1,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp10,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,1Sp10_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Sp2,2006-02-01,control_T1,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp2,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,1Sp2_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Sp3,2006-02-01,control_T1,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp3,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,1Sp3_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Sp4,2006-02-01,control_T1,control,1,Stylophora_pistillata,0,3,0,0,NA,1Sp4,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,1Sp4_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Sp5,2006-02-01,control_T1,control,1,Stylophora_pistillata,0,1,0,1,NA,1Sp5,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,1Sp5_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Sp6,2006-02-01,control_T1,control,1,Stylophora_pistillata,0,2,0,1,NA,1Sp6,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,1Sp6_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Sp7,2006-02-01,control_T1,control,1,Stylophora_pistillata,0,2,0,1,NA,1Sp7,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,1Sp7_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Sp8,2006-02-01,control_T1,control,1,Stylophora_pistillata,0,2,0,2,NA,1Sp8,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,1Sp8_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Sp9,2006-02-01,control_T1,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp9,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,1Sp9_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
5Pd1,2006-02-01,control_T1,control,5,Pocillopora_damicornis,0,2,0,0,NA,5Pd1,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,5Pd1_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
5Pd2,2006-02-01,control_T1,control,5,Pocillopora_damicornis,0,2,0,1,NA,5Pd2,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,5Pd2_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
5Sp1,2006-02-01,control_T1,control,5,Stylophora_pistillata,0,2,0,0,NA,5Sp1,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,5Sp1_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
5Sp2,2006-02-01,control_T1,control,5,Stylophora_pistillata,0,2,0,0,NA,5Sp2,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,5Sp2_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
6Pd1,2006-02-01,control_T1,control,6,Pocillopora_damicornis,0,0,0,0,NA,6Pd1,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,6Pd1_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
6Pd2,2006-02-01,control_T1,control,6,Pocillopora_damicornis,0,0,0,0,NA,6Pd2,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,6Pd2_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
6Pd3,2006-02-01,control_T1,control,6,Pocillopora_damicornis,0,0,0,0,NA,6Pd3,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,6Pd3_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
6Pd4,2006-02-01,control_T1,control,6,Pocillopora_damicornis,0,0,0,0,NA,6Pd4,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,6Pd4_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
6Sp2,2006-02-01,control_T1,control,6,Stylophora_pistillata,0,2,0,0,NA,6Sp2,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,6Sp2_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
6Sp3,2006-02-01,control_T1,control,6,Stylophora_pistillata,0,2,0,0,NA,6Sp3,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,6Sp3_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
6Sp4,2006-02-01,control_T1,control,6,Stylophora_pistillata,0,0,0,0,NA,6Sp4,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,6Sp4_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
6Sp5,2006-02-01,control_T1,control,6,Stylophora_pistillata,0,2,0,1,NA,6Sp5,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,6Sp5_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
7Pd1,2006-02-01,control_T1,control,7,Pocillopora_damicornis,0,6,0,1,NA,7Pd1,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,7Pd1_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
7Sp1,2006-02-01,control_T1,control,7,Stylophora_pistillata,0,2,0,0,NA,7Sp1,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,7Sp1_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
8Pd1,2006-02-01,control_T1,control,8,Pocillopora_damicornis,0,2,0,0,NA,8Pd1,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,8Pd1_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
8Pd2,2006-02-01,control_T1,control,8,Pocillopora_damicornis,0,0,0,0,NA,8Pd2,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,8Pd2_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
8Pd3,2006-02-01,control_T1,control,8,Pocillopora_damicornis,0,0,0,0,NA,8Pd3,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,8Pd3_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
8Pd4,2006-02-01,control_T1,control,8,Pocillopora_damicornis,0,0,0,0,NA,8Pd4,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,8Pd4_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
8Sp1,2006-02-01,control_T1,control,8,Stylophora_pistillata,0,2,0,0,NA,8Sp1,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,8Sp1_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
8Sp2,2006-02-01,control_T1,control,8,Stylophora_pistillata,0,2,0,1,NA,8Sp2,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,8Sp2_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
8Sp3,2006-02-01,control_T1,control,8,Stylophora_pistillata,0,2,0,0,NA,8Sp3,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,8Sp3_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
8Sp4,2006-02-01,control_T1,control,8,Stylophora_pistillata,0,1,0,1,NA,8Sp4,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,8Sp4_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
8Sp5,2006-02-01,control_T1,control,8,Stylophora_pistillata,0,0,0,0,NA,8Sp5,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,8Sp5_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
8Sp6,2006-02-01,control_T1,control,8,Stylophora_pistillata,0,0,0,0,NA,8Sp6,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,8Sp6_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
8Sp7,2006-02-01,control_T1,control,8,Stylophora_pistillata,0,2,0,0,NA,8Sp7,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,8Sp7_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
12Pd1,2006-02-01,control_T1,control,12,Pocillopora_damicornis,0,4,0,0,NA,12Pd1,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,12Pd1_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
12Pd2,2006-02-01,control_T1,control,12,Pocillopora_damicornis,0,2,0,0,NA,12Pd2,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,12Pd2_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
12Pd3,2006-02-01,control_T1,control,12,Pocillopora_damicornis,0,2,0,0,NA,12Pd3,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,12Pd3_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
12Pd4,2006-02-01,control_T1,control,12,Pocillopora_damicornis,0,2,0,0,NA,12Pd4,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,12Pd4_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
12Pd5,2006-02-01,control_T1,control,12,Pocillopora_damicornis,0,2,0,0,NA,12Pd5,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,12Pd5_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
12Pd6,2006-02-01,control_T1,control,12,Pocillopora_damicornis,0,4,0,1,NA,12Pd6,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,12Pd6_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
12Pd7,2006-02-01,control_T1,control,12,Pocillopora_damicornis,0,2,0,1,NA,12Pd7,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,12Pd7_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
12Sp1,2006-02-01,control_T1,control,12,Stylophora_pistillata,0,0,0,0,NA,12Sp1,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,12Sp1_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
12Sp2,2006-02-01,control_T1,control,12,Stylophora_pistillata,0,1,0,0,NA,12Sp2,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,12Sp2_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
12Sp3,2006-02-01,control_T1,control,12,Stylophora_pistillata,0,2,0,0,NA,12Sp3,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,12Sp3_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
12Sp4,2006-02-01,control_T1,control,12,Stylophora_pistillata,0,2,0,0,NA,12Sp4,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,12Sp4_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
12Sp5,2006-02-01,control_T1,control,12,Stylophora_pistillata,0,2,0,0,NA,12Sp5,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,12Sp5_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
12Sp6,2006-02-01,control_T1,control,12,Stylophora_pistillata,0,2,0,0,NA,12Sp6,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,12Sp6_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
12Sp7,2006-02-01,control_T1,control,12,Stylophora_pistillata,0,2,0,0,NA,12Sp7,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,12Sp7_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
13Sp1,2006-02-01,control_T1,control,13,Stylophora_pistillata,0,2,0,0,NA,13Sp1,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,13Sp1_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
13Sp2,2006-02-01,control_T1,control,13,Stylophora_pistillata,0,2,0,0,NA,13Sp2,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,13Sp2_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
14Pd1,2006-02-01,control_T1,control,14,Pocillopora_damicornis,0,2,0,0,NA,14Pd1,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,14Pd1_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
14Pd2,2006-02-01,control_T1,control,14,Pocillopora_damicornis,0,0,0,0,NA,14Pd2,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,14Pd2_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
14Pd3,2006-02-01,control_T1,control,14,Pocillopora_damicornis,0,4,0,3,NA,14Pd3,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,14Pd3_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
14Pd4,2006-02-01,control_T1,control,14,Pocillopora_damicornis,0,2,0,0,NA,14Pd4,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,14Pd4_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
14Pd5,2006-02-01,control_T1,control,14,Pocillopora_damicornis,0,0,0,0,NA,14Pd5,Pocillopora_damicornis,1/2/2006,Pocillopora,T1,control,14Pd5_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
14Sp1,2006-02-01,control_T1,control,14,Stylophora_pistillata,0,0,0,0,NA,14Sp1,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,14Sp1_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
14Sp2,2006-02-01,control_T1,control,14,Stylophora_pistillata,0,2,0,0,NA,14Sp2,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,14Sp2_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
14Sp3,2006-02-01,control_T1,control,14,Stylophora_pistillata,0,4,0,3,NA,14Sp3,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,14Sp3_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
14Sp4,2006-02-01,control_T1,control,14,Stylophora_pistillata,0,0,0,0,NA,14Sp4,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,14Sp4_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
14Sp5,2006-02-01,control_T1,control,14,Stylophora_pistillata,0,2,0,0,NA,14Sp5,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,14Sp5_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
14Sp6,2006-02-01,control_T1,control,14,Stylophora_pistillata,0,0,0,0,NA,14Sp6,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,14Sp6_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
14Sp7,2006-02-01,control_T1,control,14,Stylophora_pistillata,0,0,0,0,NA,14Sp7,Stylophora_pistillata,1/2/2006,Stylophora,T1,control,14Sp7_control_T1,1/12/2005,2,FALSE,TRUE,NA,2
1Pd1,2006-03-01,control_T1,control,1,Pocillopora_damicornis,0,1,0,0,NA,1Pd1,Pocillopora_damicornis,1/3/2006,Pocillopora,T1,control,1Pd1_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Pd10,2006-03-01,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd10,Pocillopora_damicornis,1/3/2006,Pocillopora,T1,control,1Pd10_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Pd2,2006-03-01,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd2,Pocillopora_damicornis,1/3/2006,Pocillopora,T1,control,1Pd2_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Pd3,2006-03-01,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd3,Pocillopora_damicornis,1/3/2006,Pocillopora,T1,control,1Pd3_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Pd4,2006-03-01,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd4,Pocillopora_damicornis,1/3/2006,Pocillopora,T1,control,1Pd4_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Pd5,2006-03-01,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd5,Pocillopora_damicornis,1/3/2006,Pocillopora,T1,control,1Pd5_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Pd6,2006-03-01,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd6,Pocillopora_damicornis,1/3/2006,Pocillopora,T1,control,1Pd6_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Pd7,2006-03-01,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/3/2006,Pocillopora,T1,control,1Pd7_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Pd8,2006-03-01,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd8,Pocillopora_damicornis,1/3/2006,Pocillopora,T1,control,1Pd8_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Pd9,2006-03-01,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd9,Pocillopora_damicornis,1/3/2006,Pocillopora,T1,control,1Pd9_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Sp1,2006-03-01,control_T1,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp1,Stylophora_pistillata,1/3/2006,Stylophora,T1,control,1Sp1_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Sp10,2006-03-01,control_T1,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp10,Stylophora_pistillata,1/3/2006,Stylophora,T1,control,1Sp10_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Sp2,2006-03-01,control_T1,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp2,Stylophora_pistillata,1/3/2006,Stylophora,T1,control,1Sp2_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Sp3,2006-03-01,control_T1,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp3,Stylophora_pistillata,1/3/2006,Stylophora,T1,control,1Sp3_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Sp4,2006-03-01,control_T1,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp4,Stylophora_pistillata,1/3/2006,Stylophora,T1,control,1Sp4_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Sp5,2006-03-01,control_T1,control,1,Stylophora_pistillata,0,0,0,1,NA,1Sp5,Stylophora_pistillata,1/3/2006,Stylophora,T1,control,1Sp5_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
1Sp6,2006-03-01,control_T1,control,1,Stylophora_pistillata,0,1,0,1,NA,1Sp6,Stylophora_pistillata,1/3/2006,Stylophora,T1,control,1Sp6_control_T1,1/12/2005,3,FALSE,TRUE,NA,3
